label files factor
GSM3004570 GSM3004570_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004575 GSM3004575_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004578 GSM3004578_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004579 GSM3004579_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004580 GSM3004580_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004582 GSM3004582_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004584 GSM3004584_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004591 GSM3004591_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004595 GSM3004595_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004596 GSM3004596_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt POLYA
GSM3004620 GSM3004620_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004621 GSM3004621_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004622 GSM3004622_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004623 GSM3004623_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004624 GSM3004624_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004625 GSM3004625_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004626 GSM3004626_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004627 GSM3004627_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004628 GSM3004628_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL
GSM3004629 GSM3004629_notrim_star_Homo_sapiens_hg19_geneswchrm_strandedreverse_classiccounts.txt TOTAL

